index,time,latitude,longitude,depth,mag,place
557,2021-10-01T13:02:01.112Z,30.3464,94.7981,30.01,4.5,"205 km NNE of Shi Yomi, India"
559,2021-10-01T04:57:33.206Z,25.4614,95.3035,102.96,4.4,"83 km ESE of Phek, India"
560,2021-10-01T03:49:28.961Z,30.3214,94.8247,31.64,5.0,"203 km NNE of Shi Yomi, India"
561,2021-09-30T13:05:36.409Z,11.7507,95.2935,24.04,4.4,"277 km E of Port Blair, India"
565,2021-09-26T06:28:43.349Z,23.4064,93.4982,9.31,4.2,"37 km E of Khawhai, India"
566,2021-09-25T09:24:34.850Z,30.2615,94.8136,34.18,4.4,"196 km NNE of Shi Yomi, India"
567,2021-09-25T04:41:07.930Z,30.3557,94.7747,31.65,5.0,"206 km N of Shi Yomi, India"
570,2021-09-21T18:14:55.220Z,9.7592,93.6952,32.78,4.7,"235 km SSE of Port Blair, India"
571,2021-09-19T19:24:04.697Z,25.2256,94.8803,80.05,5.0,"62 km SE of Phek, India"
572,2021-09-19T09:36:30.254Z,28.7353,96.4223,10.0,4.7,"74 km N of Hayuliang, India"
575,2021-09-15T13:29:41.879Z,23.4599,93.4042,10.0,4.6,"29 km ENE of Khawhai, India"
576,2021-09-14T18:47:12.873Z,10.4507,93.2806,87.8,4.4,"146 km SSE of Port Blair, India"
580,2021-09-13T03:46:47.551Z,33.7409,76.4233,10.0,4.3,"52 km NW of Padam, India"
582,2021-09-11T03:20:17.235Z,14.1061,92.9896,10.0,5.2,"267 km N of Bamboo Flat, India"
583,2021-09-11T00:28:30.709Z,30.4791,79.282,10.0,4.7,"15 km WNW of P?palkoti, India"
585,2021-09-09T03:52:36.295Z,10.3157,93.729,10.0,4.5,"183 km SE of Port Blair, India"
586,2021-09-09T03:44:28.824Z,10.263,93.728,10.0,4.8,"188 km SE of Port Blair, India"
587,2021-09-09T03:02:19.261Z,10.1311,93.8015,10.0,4.7,"205 km SE of Port Blair, India"
588,2021-09-04T12:53:31.787Z,10.1164,91.5131,10.0,4.4,"218 km SW of Port Blair, India"
589,2021-09-04T12:10:24.174Z,10.1169,91.4548,10.0,4.2,"222 km SW of Port Blair, India"
590,2021-09-04T12:05:15.767Z,26.5115,96.5587,97.98,4.5,"42 km NW of Sarupathar, India"
591,2021-09-04T10:07:22.328Z,13.6444,93.5461,35.0,4.2,"233 km NNE of Bamboo Flat, India"
592,2021-09-02T03:21:59.692Z,10.2773,93.9046,10.0,4.2,"199 km SE of Port Blair, India"
593,2021-08-31T16:05:14.317Z,10.9134,91.5518,10.0,4.3,"154 km SW of Bamboo Flat, India"
594,2021-08-30T18:54:41.219Z,10.1828,93.6781,10.0,4.6,"193 km SSE of Port Blair, India"
598,2021-08-24T16:48:13.463Z,32.0551,78.7955,10.0,4.7,"112 km ENE of Sar?han, India"
599,2021-08-24T07:05:53.043Z,14.4654,83.0456,10.0,5.1,"257 km SSE of R?zole, India"
601,2021-08-23T05:16:52.648Z,10.5565,92.1981,10.0,4.7,"136 km SSW of Port Blair, India"
603,2021-08-22T07:57:01.741Z,10.7582,94.4328,10.0,4.1,"209 km ESE of Port Blair, India"
